Shape,Area (m2),Depth (m),Width (m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
L64x51x7.9,0.000844,0.0635,0.0508,0.000000416932,0.000000096893,-,-,9.61
L64x51x9.5,0.000998,0.0635,0.0508,0.000000480245,0.000000113854,-,-,11.36
L64x64x4.8,0.000582,0.0635,0.0635,0.000000362822,0.000000091941,-,-,6.62
L64x64x6.4,0.000766,0.0635,0.0635,0.000000465957,0.000000119383,-,-,8.72
L64x64x7.9,0.000945,0.0635,0.0635,0.000000560834,0.000000145787,-,-,10.76
L64x64x9.5,0.00112,0.0635,0.0635,0.000000647905,0.000000171487,-,-,12.75
L64x64x13,0.00145,0.0635,0.0635,0.000000799945,0.000000221846,-,-,16.5
L76x51x4.8,0.000582,0.0762,0.0508,0.000000405491,0.000000072263,-,-,6.62
L76x51x6.4,0.000766,0.0762,0.0508,0.000000522172,0.000000093461,-,-,8.72
L76x51x7.9,0.000945,0.0762,0.0508,0.000000630298,0.000000113743,-,-,10.76
L76x51x9.5,0.00112,0.0762,0.0508,0.000000730363,0.000000133412,-,-,12.75
