Shape,Shape_Type,Area (m2),Depth (m),Width (m),Weight (kg/m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
2L5X3-1/2X5/8X3/4SLBB,2L,0.000986,0.08889999999999999,,33.6,3.9935999999999994e-08,2.7497599999999993e-07,6.1664e-06,2.0172e-05,48.72
2L5X3-1/2X1/2SLBB,2L,0.0008,0.08889999999999999,,27.2,3.3446399999999996e-08,1.7305599999999998e-07,5.0675999999999996e-06,1.36448e-05,39.44
2L5X3-1/2X1/2X3/8SLBB,2L,0.0008,0.08889999999999999,,27.2,3.3446399999999996e-08,1.9510399999999997e-07,5.0675999999999996e-06,1.4825599999999999e-05,39.44
2L5X3-1/2X1/2X3/4SLBB,2L,0.0008,0.08889999999999999,,27.2,3.3446399999999996e-08,2.1964799999999998e-07,5.0675999999999996e-06,1.61048e-05,39.44
2L5X3-1/2X3/8SLBB,2L,0.00061,0.08889999999999999,,20.8,2.6249599999999995e-08,1.2979199999999998e-07,3.9032e-06,1.02336e-05,30.16
2L5X3-1/2X3/8X3/8SLBB,2L,0.00061,0.08889999999999999,,20.8,2.6249599999999995e-08,1.44768e-07,3.9032e-06,1.10044e-05,30.16
2L5X3-1/2X3/8X3/4SLBB,2L,0.00061,0.08889999999999999,,20.8,2.6249599999999995e-08,1.6390399999999998e-07,3.9032e-06,1.20212e-05,30.16
2L5X3-1/2X5/16SLBB,2L,0.0005120000000000001,0.08889999999999999,,17.4,2.23808e-08,1.0774399999999999e-07,3.2963999999999995e-06,8.4952e-06,25.23
2L5X3-1/2X5/16X3/8SLBB,2L,0.0005120000000000001,0.08889999999999999,,17.4,2.23808e-08,1.2064e-07,3.2963999999999995e-06,9.1676e-06,25.23
2L5X3-1/2X5/16X3/4SLBB,2L,0.0005120000000000001,0.08889999999999999,,17.4,2.23808e-08,1.352e-07,3.2963999999999995e-06,9.922e-06,25.23
2L5X3-1/2X1/4SLBB,2L,0.000414,0.08889999999999999,,14.0,1.8304e-08,8.5696e-08,2.6731999999999997e-06,6.7568e-06,20.3
2L5X3-1/2X1/4X3/8SLBB,2L,0.000414,0.08889999999999999,,14.0,1.8304e-08,9.692799999999999e-08,2.6731999999999997e-06,7.3636e-06,20.3
2L5X3-1/2X1/4X3/4SLBB,2L,0.000414,0.08889999999999999,,14.0,1.8304e-08,1.0857599999999999e-07,2.6731999999999997e-06,7.9704e-06,20.3
2L5X3X1/2SLBB,2L,0.00075,0.07619999999999999,,25.6,2.1215999999999996e-08,1.72224e-07,3.7063999999999998e-06,1.3579199999999999e-05,37.12
2L5X3X1/2X3/8SLBB,2L,0.00075,0.07619999999999999,,25.6,2.1215999999999996e-08,1.9510399999999997e-07,3.7063999999999998e-06,1.4825599999999999e-05,37.12
2L5X3X1/2X3/4SLBB,2L,0.00075,0.07619999999999999,,25.6,2.1215999999999996e-08,2.1756799999999998e-07,3.7063999999999998e-06,1.59572e-05,37.12
2L5X3X7/16SLBB,2L,0.000662,0.07619999999999999,,22.6,1.9052799999999998e-08,1.50592e-07,3.2963999999999995e-06,1.18736e-05,32.77
2L5X3X7/16X3/8SLBB,2L,0.000662,0.07619999999999999,,22.6,1.9052799999999998e-08,1.69312e-07,3.2963999999999995e-06,1.2873999999999999e-05,32.77
2L5X3X7/16X3/4SLBB,2L,0.000662,0.07619999999999999,,22.6,1.9052799999999998e-08,1.9052799999999997e-07,3.2963999999999995e-06,1.39728e-05,32.77
2L5X3X3/8SLBB,2L,0.000572,0.07619999999999999,,19.6,1.6723199999999998e-08,1.29376e-07,2.87e-06,1.0200799999999999e-05,28.42
2L5X3X3/8X3/8SLBB,2L,0.000572,0.07619999999999999,,19.6,1.6723199999999998e-08,1.4518399999999999e-07,2.87e-06,1.10372e-05,28.42
2L5X3X3/8X3/4SLBB,2L,0.000572,0.07619999999999999,,19.6,1.6723199999999998e-08,1.63488e-07,2.87e-06,1.1988399999999999e-05,28.42
